,min,max,average,median,standard_deviation
CREATE,833599,833611,833609.632,833611.0,3.81755464229318
RFQ,182198,857998,215988.0,182198.0,151113.47391943578
BID,3828772,3860172,3829495.232,3828784.0,3549.6078783939915
ACCEPT,226168,293171,229668.35,226180.0,14959.938528142062
